FacilityID,Name,FacilityType,Address1,Town,Latitude,Longitude,Parking,ParkingAccessible,KeyRequired,OpeningHours,Male,Female,Unisex,AllGender,Accessible,LHTransfer,RHTransfer
17608,Toilet 4 : Market Street & Collins Street,Other,Market Street & Collins Street,Melbourne,-37.81756139,144.9603089,FALSE,FALSE,FALSE,Currently closed,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
17674,Government House Drive,Park or reserve,"Government House Drive, Kings Domain",Melbourne,-37.8269196,144.9746481,FALSE,FALSE,FALSE,OPEN: 24 hours,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
17678,Exhibition Street,Other,Across from 265 Exhibition Street,Melbourne,-37.8094781,144.969341,FALSE,FALSE,FALSE,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18175,Collins Place,Shopping centre,45 Collins Street,Melbourne,-37.814009,144.972077,TRUE,TRUE,FALSE,OPEN: 24 hours,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
18237,Queen Victoria Market,Shopping centre,Corner Elizabeth & Victoria Streets,Melbourne,-37.80682305,144.9588139,TRUE,FALSE,FALSE,"OPEN: Mon,Thu 2am-3pm, Tue,Thu-Fri 2am-5pm, Sat-Sun 2am-7pm",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
18239,QV,Shopping centre,Corner Lonsdale & Swanston Streets,Melbourne,-37.81080858,144.9649768,TRUE,TRUE,FALSE,"OPEN: Mon-Thu 10am-6pm, Fri 10am-9pm, Sat-Sun 10am-6pm",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
18253,The Walk Arcade,Shopping centre,Bourke Street,Melbourne,-37.81421293,144.9643134,FALSE,FALSE,TRUE,"OPEN: Mon-Wed,Sat 9am-5pm, Thu 9am-7pm, Fri 9am-9pm, Sun 10am-5pm",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
19310,Batman Park,Park or reserve,Spencer Street,Melbourne,-37.82168484,144.9556146,FALSE,FALSE,FALSE,OPEN: 6am-12am,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
19316,Domain Road,Park or reserve,169 Domain Road,Melbourne,-37.83389707,144.9817536,TRUE,FALSE,FALSE,OPEN: 24 hours,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
19324,Franklin Street,Other,465 Elizabeth Street,Melbourne,-37.80823705,144.9601833,FALSE,FALSE,FALSE,OPEN: 24 hours,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
