id,theme,subTheme,name,latitude,longitude
PLAC-199,Community Use,Public Buildings,Commonwealth Law Courts,-37.8123961677596, 144.955823833257
PLAC-200,Education Centre,Tertiary (University),RMIT University,-37.8080795360545, 144.964452974798
PLAC-201,Mixed Use,Retail/Office/Carpark,Melbourne Central,-37.8105371797142, 144.962749729496
PLAC-202,Transport,Railway Station,Melbourne Central Railway Station,-37.8100167030855, 144.963789344893
PLAC-203,Mixed Use,Retail/Office/Residential/Carpark,QV Village,-37.8106891897454, 144.965714574014
PLAC-204,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Argyle Square,-37.8031480577285, 144.965761295089
PLAC-205,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Piazza Italia,-37.8025164192523, 144.965863092947
PLAC-206,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Macarthur Square,-37.7983318676737, 144.971514146104
PLAC-207,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Murchinson Square,-37.8002735025371, 144.973059252203
PLAC-208,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parliament Reserve,-37.809852620638, 144.973462202839
PLAC-209,Leisure/Recreation,Major Sports & Recreation Facility,North Melbourne Recreation Centre (Aquatic),-37.7999470049655, 144.943290801869
PLAC-210,Office,Office,North Melbourne Football Club,-37.799771364073, 144.940963510723
PLAC-211,Leisure/Recreation,Gymnasium/Health Club,North Melbourne Recreation Centre (Gymnasium),-37.7997051197931, 144.940368286395
PLAC-212,Leisure/Recreation,Indoor Recreation Facility,Carlton Baths,-37.7934377042609, 144.971696548624
PLAC-213,Leisure/Recreation,Major Sports & Recreation Facility,City Baths,-37.8071585350561, 144.963189789721
PLAC-214,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Westgate Park,-37.8314918578874, 144.908824792698
PLAC-215,Transport,Railway Station,North Melbourne Railway Station,-37.8073823625058, 144.942429848025
PLAC-216,Place Of Assembly,Art Gallery/Museum,Cooks' Cottage,-37.8144604899837, 144.979471339826
PLAC-217,Community Use,Public Buildings,Conservatory,-37.814002127195, 144.9785597431
PLAC-218,Purpose Built,Aquarium,Melbourne Aquarium,-37.8209627824685, 144.958425696055
PLAC-219,Leisure/Recreation,Major Sports & Recreation Facility,Westpac Centre,-37.8242456858593, 144.979720306309
PLAC-220,Place Of Assembly,Art Gallery/Museum,Royal Exhibition Building,-37.80460262432, 144.971521914952
PLAC-221,Community Use,Public Buildings,Melbourne Childrens Court,-37.8125077646598, 144.958298873269
PLAC-222,Leisure/Recreation,Major Sports & Recreation Facility,Etihad Stadium,-37.8161760471742, 144.947496254547
PLAC-223,Leisure/Recreation,Observation Tower/Wheel,Eureka Skydeck 88,-37.8216187583314, 144.964622218598
PLAC-224,Mixed Use,Retail/Residential,Eureka Tower,-37.8215157539717, 144.964456721965
PLAC-225,Community Use,Public Buildings,County Court Melbourne,-37.8132011619962, 144.957734246387
PLAC-226,Health Services,Public Hospital,Peter Maccallum Cancer Institute,-37.8114766732026, 144.977400949063
PLAC-227,Health Services,Public Hospital,Royal Dental Hospital,-37.7995065904416, 144.964526842767
