station_id,station_name,station_latitude,station_longitude,station_infoDisplay,station_hearingLoop,station_lift
West Footscray,West Footscray,-37.801849000000004,144.88564800000006,Dot Matrix,Yes,Yes
West Richmond,West Richmond,-37.81445599999995,144.99169600000005,No,No,No
Westall,Westall,-37.938492,145.1388340000001,Dot Matrix,No,Yes
Westgarth,Westgarth,-37.780619,144.999232,LCD,No,No
Westona,Westona,-37.86516599999999,144.8135010000001,LCD,No,No
Williamstown,Williamstown,-37.86788199999995,144.90563500000007,Dot Matrix,No,No
Williamstown Beach,Williamstown Beach,-37.86408399999999,144.894682,No,No,No
Willison,Willison,-37.835487,145.07014000000004,No,No,No
Windsor,Windsor,-37.85582899999997,144.99173300000007,Dot Matrix,No,No
Yarraman,Yarraman,-37.97814699999998,145.19175200000006,No,No,No
Yarraville,Yarraville,-37.81581299999999,144.88997500000005,LCD,No,No
Coolaroo,Coolaroo,-37.661001,144.92605300000002,Dot Matrix,Yes,Yes
South Morang,South Morang,-37.64907599999998,145.06746800000008,Dot Matrix,Yes,Yes
Lynbrook,Lynbrook,-38.057331999999974,145.24939100000006,Dot Matrix,Yes,No
Cardinia Road,Cardinia Road,-38.071327,145.438088,Dot Matrix,Yes,No
Williams Landing,Williams Landing,-37.87009999999998,144.74719400000004,Dot Matrix,Yes,Yes
Aircraft,Aircraft,-37.866603,144.760809,No,No,No
Flemington Racecourse,Flemington Racecourse,-37.787585999999976,144.907196,No,No,No
Showgrounds,Showgrounds,-37.783551999999986,144.914982,No,No,No
Southland,Southland,-37.958177999999975,145.048673,LCD,Yes,Yes
