id,class,type,location,reference,latitude,longitude
1431519,Outdoor Furniture,Picnic Setting,Flagstaff Gardens,"54m NW of City of Melbourne, Flagstaff Gardens Tennis Courts, Flagstaff Gardens, 311 William Street, West Melbourne, 3003",-37.809489054734605, 144.9548774142635
1431559,Outdoor Furniture,Picnic Setting,Alexandra Park,Alexandra Park,-37.82770899776955, 144.98253995841495
1431562,Outdoor Furniture,Barbeque,Alexandra Park,Alexandra Park,-37.82753298227228, 144.98190805151714
1431563,Outdoor Furniture,Picnic Setting,Alexandra Park,Alexandra Park,-37.82749795896605, 144.98178902788183
1431569,Outdoor Furniture,Barbeque,Alexandra Park,Alexandra Park,-37.82727009584159, 144.98119239501509
1431573,Outdoor Furniture,Picnic Setting,Alexandra Park,"95m North of Plant Craft Cottage, Plant Craft Cottage, Royal Botanic Gardens Victoria, Alexandra Avenue, Melbourne, 3004",-37.826357230859585, 144.97946035335076
1431574,Outdoor Furniture,Picnic Setting,Alexandra Park,"8m North of City of Melbourne, Alexandra Park, Alexandra Avenue, Melbourne, 3004",-37.82464152792055, 144.9779618146799
1431575,Outdoor Furniture,Picnic Setting,Alexandra Park,"21m NW of City of Melbourne, Alexandra Park, Alexandra Avenue, Melbourne, 3004",-37.824542867612664, 144.97788418485013
1431576,Outdoor Furniture,Barbeque,Alexandra Park,"24m NW of City of Melbourne, Alexandra Park, Alexandra Avenue, Melbourne, 3004",-37.82452210063826, 144.97786611955524
1431775,Outdoor Furniture,Picnic Setting,Fawkner Park,Fawkner Park,-37.84075696240123, 144.98387194901323
1431776,Outdoor Furniture,Picnic Setting,Fawkner Park,Fawkner Park,-37.84071402004891, 144.9839060727661
1431850,Outdoor Furniture,Picnic Setting,Victoria Green,Victoria Green,-37.82049252309743, 144.94482876157687
1431851,Outdoor Furniture,Picnic Setting,Victoria Green,Victoria Green,-37.82044257651287, 144.9447707322103
1431852,Outdoor Furniture,Picnic Setting,Victoria Green,Victoria Green,-37.820483938365975, 144.94478094523163
1431853,Outdoor Furniture,Barbeque,Victoria Green,Victoria Green,-37.82049353458204, 144.9448712214091
1491172,Outdoor Furniture,Barbeque,Royal Park,Royal Park,-37.785452334972696, 144.94618801740162
1491181,Outdoor Furniture,Picnic Setting,Royal Park,Royal Park,-37.785532180288115, 144.94619841091426
1491186,Outdoor Furniture,Picnic Setting,Royal Park,"63m North of City of Melbourne, Ross Straw Field Pavilion, Royal Park, Oak Street, Parkville, 3052",-37.782997523880276, 144.9442300801553
1491187,Outdoor Furniture,Picnic Setting,Royal Park,"51m North of City of Melbourne, Ross Straw Field Pavilion, Royal Park, Oak Street, Parkville, 3052",-37.783100227425216, 144.9442438120722
1510897,Outdoor Furniture,Barbeque,Victoria Green,"23m West of 66 Geographe Street, Docklands, 3008",-37.82054853245266, 144.945321953656
1511731,Outdoor Furniture,Picnic Setting,J J Holland Park,"67m South of The Venny Inc, The Venny, 85 Kensington Road, Kensington, 3031",-37.79745298703066, 144.92327247199373
1511732,Outdoor Furniture,Picnic Setting,J J Holland Park,"77m SE of The Venny Inc, The Venny, 85 Kensington Road, Kensington, 3031",-37.797509540805144, 144.923454187379
1511733,Outdoor Furniture,Barbeque,J J Holland Park,"68m South of The Venny Inc, The Venny, 85 Kensington Road, Kensington, 3031",-37.79744246261081, 144.9233706625667
1515394,Outdoor Furniture,Picnic Setting,Fawkner Park,Fawkner Park,-37.843236383085156, 144.97967317323491
1515395,Outdoor Furniture,Picnic Setting,Fawkner Park,Fawkner Park,-37.83919264989558, 144.98056179393186
1515393,Outdoor Furniture,Picnic Setting,Fawkner Park,Fawkner Park,-37.84319139258992, 144.9796981517122
1515986,Outdoor Furniture,Picnic Setting,Liddy Street Reserve,"19m NE of 1 Liddy Walk, Kensington, 3031",-37.79008903483099, 144.9257157493847
1519509,Outdoor Furniture,Barbeque,Alexandra Park,"34m NW of City of Melbourne, Alexandra Park, Alexandra Avenue, Melbourne, 3004",-37.82444422516884, 144.97780235114126
1519510,Outdoor Furniture,Barbeque,Alexandra Park,"11m North of City of Melbourne, Alexandra Park, Alexandra Avenue, Melbourne, 3004",-37.824622419369724, 144.97794586267926
1519513,Outdoor Furniture,Picnic Setting,Alexandra Park,"79m NW of City of Melbourne, Alexandra Park, Alexandra Avenue, Melbourne, 3004",-37.82410648224061, 144.97750959498103
1551577,Outdoor Furniture,Barbeque,Warun Biik Park,"51m SW of 30 Derby Street, Kensington, 3031",-37.79622323577933, 144.9266473544793
1551578,Outdoor Furniture,Picnic Setting,Warun Biik Park,"55m SW of 30 Derby Street, Kensington, 3031",-37.79622716643016, 144.92659420905596
1551579,Outdoor Furniture,Picnic Setting,Warun Biik Park,"51m SW of 28 Derby Street, Kensington, 3031",-37.79615689594815, 144.9265800474665
1552506,Outdoor Furniture,Barbeque,Water Plaza,"4m North of Magic Charters Melbourne, Berth Water Plaza, 40 Victoria Harbour Promenade, Docklands, 3008",-37.81889052008494, 144.94275498440427
1557648,Outdoor Furniture,Picnic Setting,Galada Avenue Reserve,"47m West of 32 Bunjil Way, Parkville, 3052",-37.77938885666665, 144.93978468353518
1569664,Outdoor Furniture,Picnic Setting,Royal Park,Royal Park,-37.782196118372475, 144.94917776711765
1569665,Outdoor Furniture,Picnic Setting,Royal Park,Royal Park,-37.78230284760091, 144.94908114185958
1569666,Outdoor Furniture,Picnic Setting,Royal Park,Royal Park,-37.78227106811492, 144.94888115848102
1569715,Outdoor Furniture,Picnic Setting,Flagstaff Gardens,"55m North of City of Melbourne, Flagstaff Gardens Tennis Courts, Flagstaff Gardens, 311 William Street, West Melbourne, 3003",-37.80945165237631, 144.9549602290813
1569757,Outdoor Furniture,Picnic Setting,Powlett Reserve,"41m SE of The East Melbourne Group Inc, 152 Powlett Street, East Melbourne, 3002",-37.81112472341439, 144.98670019962398
1569759,Outdoor Furniture,Picnic Setting,Powlett Reserve,"36m SE of The East Melbourne Group Inc, 152 Powlett Street, East Melbourne, 3002",-37.81124889127986, 144.98647271255604
1586949,Outdoor Furniture,Picnic Setting,Newmarket Reserve,"51m East of 516-550 Epsom Road, Flemington, 3031",-37.787682128387715, 144.92190952902817
1586950,Outdoor Furniture,Picnic Setting,Newmarket Reserve,"42m NW of Lynchs Bridge Historic Precinct, Lynchs Bridge Historic Precinct, 1A Smithfield Road, Kensington, 3031",-37.78796738858408, 144.92429309174094
1589222,Outdoor Furniture,Barbeque,Royal Park,"49m NW of Parkville House Inc, 32 Gatehouse Street, Parkville, 3052",-37.79551100378923, 144.9519166390474
1589228,Outdoor Furniture,Picnic Setting,Royal Park,"86m NE of Tenancy 4, Ground, 48 Flemington Road, Parkville, 3052",-37.79502849117693, 144.95106051125185
1589229,Outdoor Furniture,Picnic Setting,Royal Park,"80m NE of Tenancy 4, Ground, 48 Flemington Road, Parkville, 3052",-37.795090189469946, 144.95102757614495
1589230,Outdoor Furniture,Picnic Setting,Royal Park,"45m NW of Parkville House Inc, 32 Gatehouse Street, Parkville, 3052",-37.795546989616135, 144.95192348121543
1589231,Outdoor Furniture,Picnic Setting,Royal Park,"52m NW of Parkville House Inc, 32 Gatehouse Street, Parkville, 3052",-37.79547599174694, 144.9519139719226
1589232,Outdoor Furniture,Picnic Setting,Royal Park,"57m North of Parkville House Inc, 32 Gatehouse Street, Parkville, 3052",-37.795351635602806, 144.9520957043351
1589756,Outdoor Furniture,Picnic Setting,Reeves Street Park,Reeves Street Park,-37.79356379826714, 144.97046209933077
1589757,Outdoor Furniture,Picnic Setting,Reeves Street Park,Reeves Street Park,-37.79368997783701, 144.97025900194856
1589758,Outdoor Furniture,Picnic Setting,Reeves Street Park,Reeves Street Park,-37.79373942764883, 144.97023663932197
1596513,Outdoor Furniture,Picnic Setting,Flagstaff Gardens,"36m North of City of Melbourne, Flagstaff Gardens Tennis Courts, Flagstaff Gardens, 311 William Street, West Melbourne, 3003",-37.809617298759704, 144.95501790459758
1597121,Outdoor Furniture,Barbeque,Powlett Reserve,"41m SE of The East Melbourne Group Inc, 152 Powlett Street, East Melbourne, 3002",-37.81122104507609, 144.98662556673142
1597374,Outdoor Furniture,Picnic Setting,Royal Park,"56m West of Royal Park Brunswick Cricket Club Inc, Western Pavilion, Royal Park, 776 Park Street, Parkville, 3052",-37.77759857407158, 144.95370626513926
1598888,Outdoor Furniture,Picnic Setting,Royal Park,"36m SE of City of Melbourne, Ryder Pavilions, Royal Park, 750 Park Street, Parkville, 3052",-37.77793386207218, 144.9563511042926
1600065,Outdoor Furniture,Picnic Setting,Royal Park,"79m SE of Womens Pavillion, Womens Pavillion, Royal Park, Old Poplar Road, Parkville, 3052",-37.782036747552056, 144.95639240265916
1600554,Outdoor Furniture,Picnic Setting,Neill Street Reserve,"37m North of 207 Palmerston Street, Carlton, 3053",-37.79584235718246, 144.9682052928253
1600555,Outdoor Furniture,Picnic Setting,Neill Street Reserve,"37m North of 207 Palmerston Street, Carlton, 3053",-37.795841855724554, 144.96813444102102
1631170,Outdoor Furniture,Picnic Setting,Cardigan Street Park,"18m NW of Melbourne Community Toy Library Inc, 469 Cardigan Street, Carlton, 3053",-37.794307532531136, 144.96624588823647
1633468,Outdoor Furniture,Barbeque,Ron Barassi Senior Park,"88m West of Docklands Sports Club Cafe, Ron Barassi Senior Park, 492-534 Docklands Drive, Docklands, 3008",-37.817081542493305, 144.93419238830614
1633471,Outdoor Furniture,Picnic Setting,Ron Barassi Senior Park,"86m West of Docklands Sports Club Cafe, Ron Barassi Senior Park, 492-534 Docklands Drive, Docklands, 3008",-37.817106461415584, 144.93423099869418
1633472,Outdoor Furniture,Picnic Setting,Ron Barassi Senior Park,"87m West of Docklands Sports Club Cafe, Ron Barassi Senior Park, 492-534 Docklands Drive, Docklands, 3008",-37.81704315741718, 144.93419266326967
1719689,Outdoor Furniture,Picnic Setting,Royal Park,Royal Park,-37.79195588540961, 144.94930799382854
1725240,Outdoor Furniture,Picnic Setting,Parsons Street Reserve,"21m NE of 3 Davis Street, Kensington, 3031",-37.79004756056683, 144.93096574017986
1725241,Outdoor Furniture,Picnic Setting,Parsons Street Reserve,"18m NE of 3 Davis Street, Kensington, 3031",-37.79005379396978, 144.93093070428313
1742343,Outdoor Furniture,Picnic Setting,Hawke & Adderley Street Park,Hawke & Adderley Street Park,-37.808770589447164, 144.9450810151771
1742344,Outdoor Furniture,Picnic Setting,Hawke & Adderley Street Park,Hawke & Adderley Street Park,-37.80879377760297, 144.9450516350417
1742443,Outdoor Furniture,Picnic Setting,Craigieburn Railway,"14m SE of Bellair Street Reserve, Bellair Street, Kensington, 3031",-37.79559633214363, 144.93086669245656
1742445,Outdoor Furniture,Picnic Setting,Craigieburn Railway,"6m SE of Bellair Street Reserve, Bellair Street, Kensington, 3031",-37.795519270989736, 144.9308455617539
1742495,Outdoor Furniture,Barbeque,Craigieburn Railway,"10m South of Bellair Street Reserve, Bellair Street, Kensington, 3031",-37.79557201558579, 144.93078549022908
1749942,Outdoor Furniture,Picnic Setting,Clayton Reserve,"27m SE of Pope Packaging, 5 Boundary Road, North Melbourne, 3051",-37.79684558175762, 144.93873147721223
1749943,Outdoor Furniture,Picnic Setting,Victoria Green,"21m West of 66 Geographe Street, Docklands, 3008",-37.820562581399265, 144.94534723856867
1750048,Outdoor Furniture,Picnic Setting,Victoria Green,"14m NE of 23 Karlsruhe Lane, Docklands, 3008",-37.82071793179061, 144.94534656567546
1751043,Outdoor Furniture,Picnic Setting,North Melbourne Recreation Reserve,"97m North of Clear Edge, 215 Arden Street, North Melbourne, 3051",-37.79918060235284, 144.94041499350163
1751044,Outdoor Furniture,Picnic Setting,North Melbourne Recreation Reserve,"91m North of Clear Edge, 215 Arden Street, North Melbourne, 3051",-37.79923692503852, 144.94045102109874
1755049,Outdoor Furniture,Barbeque,Gardiner Reserve,"66m South of Unit G1, Ground, 108 Haines Street, North Melbourne, 3051",-37.799102729387386, 144.9434773301953
1755051,Outdoor Furniture,Picnic Setting,Gardiner Reserve,"60m SE of 36-58 Macaulay Road, North Melbourne, 3051",-37.79909172362479, 144.94339927137744
1755728,Outdoor Furniture,Picnic Setting,"Approximately 15m NE of 6 Anderson Walk, Kensington, 3031","Approximately 15m NE of 6 Anderson Walk, Kensington, 3031",-37.79659989450444, 144.92049194273972
1758406,Outdoor Furniture,Picnic Setting,Royal Park,"77m NE of City of Melbourne, Flemington Oval Pavilion, Royal Park, 54 Flemington Road, Parkville, 3052",-37.79274618251126, 144.9480125495345
1758407,Outdoor Furniture,Picnic Setting,Royal Park,"71m NE of City of Melbourne, Flemington Oval Pavilion, Royal Park, 54 Flemington Road, Parkville, 3052",-37.79275977397001, 144.947944377269
1759476,Outdoor Furniture,Barbeque,Riverside Quay Reserve,Riverside Quay Reserve,-37.821250861671416, 144.9642136722747
1759480,Outdoor Furniture,Picnic Setting,Riverside Quay Reserve,Riverside Quay Reserve,-37.82106771999306, 144.96408726340655
1759481,Outdoor Furniture,Picnic Setting,Riverside Quay Reserve,Riverside Quay Reserve,-37.82125718140689, 144.96418827819983
1759482,Outdoor Furniture,Picnic Setting,Riverside Quay Reserve,Riverside Quay Reserve,-37.82114741834501, 144.96379742463924
1759483,Outdoor Furniture,Picnic Setting,Riverside Quay Reserve,Riverside Quay Reserve,-37.8211367191862, 144.9638405478912
1759484,Outdoor Furniture,Picnic Setting,Riverside Quay Reserve,Riverside Quay Reserve,-37.82107564681055, 144.96405057830592
1759485,Outdoor Furniture,Picnic Setting,Riverside Quay Reserve,Riverside Quay Reserve,-37.821266917600994, 144.96415199771687
1764810,Outdoor Furniture,Picnic Setting,Wharfs Landing,"20m South of Anchor Eatery, 196 River Esplanade, Docklands, 3008",-37.82189964569061, 144.93635538620487
1764811,Outdoor Furniture,Picnic Setting,Wharfs Landing,"16m South of Anchor Eatery, 196 River Esplanade, Docklands, 3008",-37.82185660505472, 144.9363933934231
1772220,Outdoor Furniture,Picnic Setting,University Square,"55m West of 210-214 Leicester Street, Carlton, 3053",-37.8007668418744, 144.9604580491931
1772221,Outdoor Furniture,Picnic Setting,University Square,"64m East of 141 Barry Street, Carlton, 3053",-37.80074985929687, 144.96032563481776
