id,name,address,status,latitude,longitude
WIFI-139,MEL-0392,172 Flinders Street,UP,-37.817054,144.968425
WIFI-140,MEL-0394,Flinders,UP,-37.8166846,144.97054
WIFI-141,MEL-0395,Flinders,UP,-37.816093,144.971761
WIFI-142,MEL-0396,Market St,UP,-37.818443,144.960569
WIFI-143,MEL-0397,Flinders St,UP,-37.819536,144.960664
WIFI-144,MEL-0398,Harbour Esp,UP,-37.814296,144.944514
WIFI-145,MEL-0399,Harbour Esp,UP,-37.81688,144.945504
WIFI-146,MEL-0400,Harbour Esp,UP,-37.817379,144.94572
WIFI-147,MEL-0405,La Trobe St,UP,-37.808868,144.965864
WIFI-148,MEL-0406,La Trobe St,UP,-37.8086473,144.967244
WIFI-149,MEL-0407,Landsdowne,UP,-37.813265,144.977615
WIFI-150,MEL-0408,Landsdowne,UP,-37.81222,144.977778
WIFI-151,MEL-0409,Latrobe St,UP,-37.814304,144.946959
WIFI-152,MEL-0412,Lonsdale St,UP,-37.811467,144.965352
WIFI-153,MEL-0414,Lonsdale St,UP,-37.812027,144.962723
WIFI-154,MEL-0415,Opposite 29-31 Market St,UP,-37.8187224,144.960908
WIFI-155,MEL-0418,Peel St-Qvicmarketshedk ,UP,-37.8073606,144.955833
WIFI-156,MEL-0419,Peel St-Qvicmarketshedc�   ,UP,-37.8064983,144.955995
WIFI-157,MEL-0420,113-117 Peel St,UP,-37.805316,144.955884
WIFI-158,MEL-0421,160 Queen Street ,UP,-37.8148046,144.960754
WIFI-159,MEL-0430,Russell St,UP,-37.812126,144.967701
WIFI-160,MEL-0432,La Trobe St,UP,-37.809435,144.963961
WIFI-161,MEL-0433,Spencer St,UP,-37.813555,144.951726
WIFI-162,MEL-0434,Spencer St,UP,-37.814191,144.95207
WIFI-163,MEL-0435,Spencer St,UP,-37.815524,144.952694
WIFI-164,MEL-0436,Spencer St,UP,-37.81664,144.952918
WIFI-165,MEL-0437,Spencer St,UP,-37.817879,144.953734
WIFI-166,MEL-0438,Spencer St,UP,-37.818579,144.953995
WIFI-167,MEL-0439,Spencer St,UP,-37.819609,144.954247
WIFI-168,MEL-0440,Spencer St,UP,-37.820309,144.954859
WIFI-169,MEL-0451,Ne Corner Of Swanston St And Victoria St,UP,-37.8065478,144.963142
WIFI-170,MEL-0452,Swanston St,UP,-37.805656,144.963247
WIFI-171,MEL-0453,Swanston St,UP,-37.8044896,144.963448
WIFI-172,MEL-0459,Wellington Pde,UP,-37.815712,144.980167
WIFI-173,MEL-0461,William St,UP,-37.816322,144.95841
WIFI-174,MEL-0462,William St,UP,-37.814924,144.958063
WIFI-175,MEL-0463,William St,UP,-37.81417,144.957367
WIFI-176,MEL-0464,William St,UP,-37.813254,144.957287
WIFI-177,MEL-0465,William St,UP,-37.81194,144.956663
WIFI-178,MEL-0466,William St,UP,-37.811343,144.956297
WIFI-179,MEL-0467,William St,UP,-37.8094918,144.955461
WIFI-180,MEL-0469,Clarendon St,UP,-37.823643,144.956069
WIFI-181,MEL-0470,Peel St-Qvicmarketsheda�,UP,-37.80601,144.956085
WIFI-182,MEL-0500,Parliament Station - Ml_Platform 1 & 2,UP,-37.8122331,144.9742191
WIFI-183,MEL-0501,Parliament Station - Ml_Platform 1 & 2,UP,-37.8120871,144.9740154
WIFI-184,MEL-0502,Parliament Station - Ml_Platform 1 & 2,UP,-37.8111336,144.973527
WIFI-185,MEL-0503,Parliament Station - Ml_Platform 1 & 2,UP,-37.8106759,144.9734961
WIFI-186,MEL-0504,Parliament Station - Ml_Platform 1 & 2,UP,-37.81082,144.9731219
WIFI-187,MEL-0505,Parliament Station - Ml_Platform 1 & 2,UP,-37.8114134,144.9734041
WIFI-188,MEL-0506,Parliament Station - Ml_Platform 1 & 2,UP,-37.8113201,144.9737185
WIFI-189,MEL-0507,Parliament Station - Ml_Platform 1 & 2,UP,-37.8118668,144.9739411
WIFI-190,MEL-0508,Parliament Station - Ml_Platform 3 & 4,UP,-37.8116888,144.9735776
WIFI-191,MEL-0509,Parliament Station - Ml_Platform 3 & 4,UP,-37.8110404,144.9733053
WIFI-192,MEL-0510,Parliament Station - Ml_Platform 3 & 4,UP,-37.8115998,144.9739161
WIFI-193,MEL-0511,Parliament Station - Ml_Platform 3 & 4,UP,-37.8106308,144.9733072
WIFI-194,MEL-0512,Parliament Station - Ml_Platform 3 & 4,UP,-37.8103923,144.97301
WIFI-195,MEL-0513,Parliament Station - Ml_Platform 3 & 4,UP,-37.8114506,144.9736558
WIFI-196,MEL-0514,Parliament Station - Ml_Platform 3 & 4,UP,-37.8102755,144.9733339
WIFI-197,MEL-0515,Parliament Station - Ml_Platform 3 & 4,UP,-37.81095,144.9736343
WIFI-198,MEL-0516,Parliament Station - Ml_ North Concourse,UP,-37.8097984,144.972481
WIFI-199,MEL-0517,Parliament Station - Ml_South Concourse,UP,-37.8122049,144.9736933
WIFI-200,MEL-0518,Parliament Station - Ml_South Concourse,UP,-37.8123645,144.9738435
