freewifi_name,freewifi_address,freewifi_latitude,freewifi_longitude,freewifi_status
MEL-0421,160 Queen Street ,-37.8148046,144.960754,UP
MEL-0430,Russell St,-37.812126,144.967701,UP
MEL-0432,La Trobe St,-37.809435,144.963961,UP
MEL-0433,Spencer St,-37.813555,144.951726,UP
MEL-0434,Spencer St,-37.814191,144.95207,UP
MEL-0435,Spencer St,-37.815524,144.952694,UP
MEL-0436,Spencer St,-37.81664,144.952918,UP
MEL-0437,Spencer St,-37.817879,144.953734,UP
MEL-0438,Spencer St,-37.818579,144.953995,UP
MEL-0439,Spencer St,-37.819609,144.954247,UP
MEL-0440,Spencer St,-37.820309,144.954859,UP
MEL-0451,Ne Corner Of Swanston St And Victoria St,-37.8065478,144.963142,UP
MEL-0452,Swanston St,-37.805656,144.963247,UP
MEL-0453,Swanston St,-37.8044896,144.963448,UP
MEL-0459,Wellington Pde,-37.815712,144.980167,UP
MEL-0461,William St,-37.816322,144.95841,UP
MEL-0462,William St,-37.814924,144.958063,UP
MEL-0463,William St,-37.81417,144.957367,UP
MEL-0464,William St,-37.813254,144.957287,UP
MEL-0465,William St,-37.81194,144.956663,UP
MEL-0466,William St,-37.811343,144.956297,UP
MEL-0467,William St,-37.8094918,144.955461,UP
MEL-0469,Clarendon St,-37.823643,144.956069,UP
MEL-0470,Peel St-Qvicmarketsheda�,-37.80601,144.956085,UP
MEL-0500,Parliament Station - Ml_Platform 1 & 2,-37.8122331,144.9742191,UP
MEL-0501,Parliament Station - Ml_Platform 1 & 2,-37.8120871,144.9740154,UP
MEL-0502,Parliament Station - Ml_Platform 1 & 2,-37.8111336,144.973527,UP
MEL-0503,Parliament Station - Ml_Platform 1 & 2,-37.8106759,144.9734961,UP
MEL-0504,Parliament Station - Ml_Platform 1 & 2,-37.81082,144.9731219,UP
MEL-0505,Parliament Station - Ml_Platform 1 & 2,-37.8114134,144.9734041,UP
MEL-0506,Parliament Station - Ml_Platform 1 & 2,-37.8113201,144.9737185,UP
