monument_id,monument_type,monument_name,monument_address,monument_artist,monument_date,monument_author,monument_structure,monument_latitude,monument_longitude
MONUM-12,Monument,Edmund Fitzgibbon Memorial,"208 St Kilda Road, SOUTHBANK",James White,1908,City Of Melbourne,Bronze statue with Harcourt granite pedestal,-37.8236122113264,144.970418561306
MONUM-13,Art,Threaded Field,"687 La Trobe Street, DOCKLANDS",Simon Perry,1999,VicUrban,Sculpture,-37.8155239604994,144.946828976445
MONUM-14,Art,Threaded Field,"157 Wurundjeri Way, DOCKLANDS",Simon Perry,1999,VicUrban,Sculpture,-37.8152979137773,144.947771877035
MONUM-15,Art,Threaded Field,"687 La Trobe Street, DOCKLANDS",Simon Perry,1999,VicUrban,Sculpture,-37.8153623400158,144.946876084269
MONUM-16,Art,Beyond the Ocean of Existence,"44 Swanston Street, MELBOURNE",Loretta Quinn,1993,City Of Melbourne,Bronze sculpture on granite plinth,-37.8164236569551,144.967061542145
MONUM-17,Art,Blowhole,"15 Harbour Esplanade, DOCKLANDS",Duncan Stemler,2005,City of Melbourne,Stainless-steel and aluminium sculpture,-37.8219308131053,144.946798545611
MONUM-18,Art,Cow Up A Tree,"135 Harbour Esplanade, DOCKLANDS",John Kelly,2000,City Of Melbourne,Bronze sculpture,-37.8171223164672,144.945279753599
MONUM-19,Art,Coat of Arms,"104 Swanston Street, MELBOURNE",City of Melbourne,1992,City Of Melbourne,Brass pavement inlay,-37.8150481212229,144.966444170774
MONUM-20,Art,Coat of Arms,"102 Swanston Street, MELBOURNE",City of Melbourne,1992,City Of Melbourne,Brass pavement inlay,-37.815081401373,144.966458869013
MONUM-21,Art,Coat of Arms,"100 Swanston Street, MELBOURNE",City of Melbourne,1992,City Of Melbourne,Brass pavement inlay,-37.8151225543656,144.966479473485
MONUM-22,Art,Federation Bells,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,2002,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,-37.8187207058813,144.974110660022
MONUM-23,Art,Federation Bells,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,2002,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,-37.8187157253887,144.974141691478
MONUM-24,Monument,Thomas Ferguson Memorial Drinking Fountain,"179 Leicester Street, CARLTON",unknown,1912,City Of Melbourne,Stone drinking fountain,-37.8015394618203,144.960227228018
MONUM-25,Art,The Water Nymph,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Paul Montford,1925,City Of Melbourne,Bronze sculpture,-37.8222098236425,144.971335339413
